area_code,type,diocese,sa_2022_code,african_caribbean_black,asian,other,white
077055001,ROI small area,"Tuam, Limerick and Killaloe",077055001,0,0,0,272
047209001,ROI small area,"Tuam, Limerick and Killaloe",047209001,0,4,0,327
067121001,ROI small area,"Tuam, Limerick and Killaloe",067121001,0,0,0,164
037104001,ROI small area,"Tuam, Limerick and Killaloe",037104001,0,0,4,183
037116001,ROI small area,"Tuam, Limerick and Killaloe",037116001,0,1,0,226
037008001/037067001,ROI small area,"Tuam, Limerick and Killaloe",037008001/037067001,0,0,0,213
037015001,ROI small area,"Tuam, Limerick and Killaloe",037015001,1,1,5,340
037127001,ROI small area,"Tuam, Limerick and Killaloe",037127001,2,0,5,262
037020001,ROI small area,"Tuam, Limerick and Killaloe",037020001,0,0,0,94
067168001/067171002/067171001,ROI small area,"Tuam, Limerick and Killaloe",067168001/067171002/067171001,0,2,2,354
067125001,ROI small area,"Tuam, Limerick and Killaloe",067125001,1,2,6,251
067185001,ROI small area,"Tuam, Limerick and Killaloe",067185001,0,0,1,178
067055005,ROI small area,"Tuam, Limerick and Killaloe",067055005,0,6,3,263
047005001,ROI small area,"Cork, Cloyne and Ross",047005001,0,4,7,220
227014001,ROI small area,"Cork, Cloyne and Ross",227014001,1,0,1,342
217037001,ROI small area,"Cork, Cloyne and Ross",217037001,0,0,0,193
217109001,ROI small area,"Tuam, Limerick and Killaloe",217109001,1,2,5,355
217086001/217117001,ROI small area,"Tuam, Limerick and Killaloe",217086001/217117001,0,3,1,385
217118001,ROI small area,"Tuam, Limerick and Killaloe",217118001,1,1,1,385
217124001,ROI small area,"Tuam, Limerick and Killaloe",217124001,0,1,2,181
187021001,ROI small area,"Tuam, Limerick and Killaloe",187021001,0,0,0,339
067081001/067084001/067084002,ROI small area,"Tuam, Limerick and Killaloe",067081001/067084001/067084002,0,1,3,294
067199002/067199004,ROI small area,"Tuam, Limerick and Killaloe",067199002/067199004,0,0,1,110
067109001/067109002,ROI small area,"Tuam, Limerick and Killaloe",067109001/067109002,1,1,4,165
067182002,ROI small area,"Tuam, Limerick and Killaloe",067182002,0,3,1,138
067037001,ROI small area,"Tuam, Limerick and Killaloe",067037001,0,0,1,172
047155001,ROI small area,"Cork, Cloyne and Ross",047155001,0,1,4,285
047255001,ROI small area,"Cork, Cloyne and Ross",047255001,0,0,2,169
047146001,ROI small area,"Cork, Cloyne and Ross",047146001,1,0,1,199
047113001,ROI small area,"Cork, Cloyne and Ross",047113001,1,1,0,227
047283001,ROI small area,"Cork, Cloyne and Ross",047283001,0,1,3,338
047095001,ROI small area,"Cork, Cloyne and Ross",047095001,0,1,5,319
047211001,ROI small area,"Cork, Cloyne and Ross",047211001,0,1,2,322
047247002,ROI small area,"Cork, Cloyne and Ross",047247002,0,2,0,271
047247001,ROI small area,"Cork, Cloyne and Ross",047247001,0,0,0,272
047160003,ROI small area,"Cork, Cloyne and Ross",047160003,0,3,7,310
047265002,ROI small area,"Cork, Cloyne and Ross",047265002,0,0,1,184
047082006,ROI small area,"Cork, Cloyne and Ross",047082006,4,0,6,291
047321001,ROI small area,"Cork, Cloyne and Ross",047321001,1,0,2,197
047232002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047073001,ROI small area,"Cork, Cloyne and Ross",047073001,0,0,0,164
047104001,ROI small area,"Cork, Cloyne and Ross",047104001,0,2,3,181
047274003/047274004,ROI small area,"Cork, Cloyne and Ross",047274003/047274004,0,1,0,153
047126002/047126003/047126004/047126005,ROI small area,"Cork, Cloyne and Ross",047126002/047126003/047126004/047126005,0,0,2,315
047065002,ROI small area,"Cork, Cloyne and Ross",047065002,0,3,0,168
047065001,ROI small area,"Cork, Cloyne and Ross",047065001,0,1,0,197
047137001,ROI small area,"Cork, Cloyne and Ross",047137001,0,3,0,429
047133001,ROI small area,"Cork, Cloyne and Ross",047133001,0,0,1,197
047138001,ROI small area,"Cork, Cloyne and Ross",047138001,0,0,3,251
047217002,ROI small area,"Cork, Cloyne and Ross",047217002,0,4,3,289
047140004,ROI small area,"Cork, Cloyne and Ross",047140004,1,0,6,322
047217003,ROI small area,"Cork, Cloyne and Ross",047217003,0,0,0,250
047085001,ROI small area,"Tuam, Limerick and Killaloe",047085001,0,2,8,335
047280002,ROI small area,"Cork, Cloyne and Ross",047280002,0,0,0,208
047022002,ROI small area,"Cork, Cloyne and Ross",047022002,2,0,2,262
047245001,ROI small area,"Cork, Cloyne and Ross",047245001,0,1,2,270
047037003,ROI small area,"Cork, Cloyne and Ross",047037003,0,0,0,216
047273001,ROI small area,"Cork, Cloyne and Ross",047273001,4,2,0,254
047070001,ROI small area,"Cork, Cloyne and Ross",047070001,0,0,1,155
047260001,ROI small area,"Cork, Cloyne and Ross",047260001,0,0,2,247
047273003,ROI small area,"Cork, Cloyne and Ross",047273003,0,1,1,392
047069001,ROI small area,"Cork, Cloyne and Ross",047069001,2,0,0,216
047093001,ROI small area,"Cork, Cloyne and Ross",047093001,0,6,3,352
047194001,ROI small area,"Cork, Cloyne and Ross",047194001,0,0,2,278
047030001,ROI small area,"Cork, Cloyne and Ross",047030001,0,0,0,191
047087003,ROI small area,"Cork, Cloyne and Ross",047087003,1,2,0,221
047184001,ROI small area,"Tuam, Limerick and Killaloe",047184001,0,0,1,350
047081001,ROI small area,"Tuam, Limerick and Killaloe",047081001,0,1,2,283
047233002,ROI small area,"Cork, Cloyne and Ross",047233002,0,0,0,363
047238002,ROI small area,"Cork, Cloyne and Ross",047238002,0,1,4,367
047305001,ROI small area,"Cork, Cloyne and Ross",047305001,0,1,5,323
047060002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047091001,ROI small area,"Cork, Cloyne and Ross",047091001,0,0,0,326
047060003,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047009002,ROI small area,"Cork, Cloyne and Ross",047009002,0,0,1,250
047139001,ROI small area,"Cork, Cloyne and Ross",047139001,0,1,1,282
047091002,ROI small area,"Cork, Cloyne and Ross",047091002,0,2,8,245
047257001,ROI small area,"Cork, Cloyne and Ross",047257001,0,0,0,176
047297002,ROI small area,"Cork, Cloyne and Ross",047297002,1,0,0,348
047316001,ROI small area,"Cork, Cloyne and Ross",047316001,4,0,1,259
047288001,ROI small area,"Cork, Cloyne and Ross",047288001,0,2,1,264
047212002,ROI small area,"Cork, Cloyne and Ross",047212002,0,0,3,293
047059001/047059002/047059003,ROI small area,"Cork, Cloyne and Ross",047059001/047059002/047059003,1,3,0,183
047001003,ROI small area,"Cork, Cloyne and Ross",047001003,0,6,6,255
047059004,ROI small area,"Cork, Cloyne and Ross",047059004,0,1,2,249
047001002,ROI small area,"Cork, Cloyne and Ross",047001002,0,5,1,246
047112001,ROI small area,"Cork, Cloyne and Ross",047112001,0,0,0,233
047078001,ROI small area,"Cork, Cloyne and Ross",047078001,0,1,0,434
047186001,ROI small area,"Cork, Cloyne and Ross",047186001,0,10,0,248
047186006,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047186005,ROI small area,"Cork, Cloyne and Ross",047186005,0,2,0,303
047221002,ROI small area,"Cork, Cloyne and Ross",047221002,0,0,2,248
047223001/047223002,ROI small area,"Cork, Cloyne and Ross",047223001/047223002,1,3,10,365
047269001,ROI small area,"Cork, Cloyne and Ross",047269001,2,0,2,328
047032001,ROI small area,"Cork, Cloyne and Ross",047032001,0,14,10,242
047025001,ROI small area,"Cork, Cloyne and Ross",047025001,0,1,4,385
