area_code,type,diocese,sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
047177001,ROI small area,"Cork, Cloyne and Ross",047177001,14,18,2,36,6,2,6,1,3,0,0,1,4,2
077042002/077042003/077042004,ROI small area,"Tuam, Limerick and Killaloe",077042002/077042003/077042004,22,16,2,12,2,3,2,1,2,0,1,0,1,0
077042001,ROI small area,"Tuam, Limerick and Killaloe",077042001,26,26,4,15,2,0,3,1,0,0,0,1,2,1
077156001/077156002/077156003,ROI small area,"Tuam, Limerick and Killaloe",077156001/077156002/077156003,28,30,6,12,3,1,3,0,2,0,0,3,1,2
077009001,ROI small area,"Tuam, Limerick and Killaloe",077009001,19,18,2,18,3,0,10,1,1,0,0,0,3,1
077037001/077133001,ROI small area,"Tuam, Limerick and Killaloe",077037001/077133001,27,23,2,28,2,1,3,0,0,0,1,0,3,0
077064001,ROI small area,"Tuam, Limerick and Killaloe",077064001,22,13,1,15,4,1,6,2,1,0,0,1,3,4
077153005,ROI small area,"Tuam, Limerick and Killaloe",077153005,23,15,3,16,3,2,3,1,1,0,0,3,1,5
077026001,ROI small area,"Cork, Cloyne and Ross",077026001,22,19,1,35,5,1,3,1,0,0,1,1,1,3
077130001,ROI small area,"Tuam, Limerick and Killaloe",077130001,17,12,1,17,1,2,3,1,0,0,0,0,0,0
077084001,ROI small area,"Tuam, Limerick and Killaloe",077084001,16,9,2,18,3,0,2,1,1,1,1,0,3,3
077149001/077149002,ROI small area,"Tuam, Limerick and Killaloe",077149001/077149002,17,19,0,19,2,1,5,0,0,0,0,1,2,3
077038001,ROI small area,"Tuam, Limerick and Killaloe",077038001,21,15,5,23,1,1,3,1,2,0,2,1,0,0
077097001,ROI small area,"Tuam, Limerick and Killaloe",077097001,27,17,7,21,3,2,5,2,1,0,1,0,0,3
077141001,ROI small area,"Tuam, Limerick and Killaloe",077141001,18,11,2,17,1,0,2,2,0,0,1,3,0,2
077077001,ROI small area,"Tuam, Limerick and Killaloe",077077001,18,13,1,36,4,0,4,1,0,0,0,2,3,0
077077002,ROI small area,"Tuam, Limerick and Killaloe",077077002,26,17,2,24,1,0,3,0,1,0,0,0,1,0
077016001,ROI small area,"Tuam, Limerick and Killaloe",077016001,14,17,1,10,3,0,3,2,0,0,1,1,1,2
077062001,ROI small area,"Tuam, Limerick and Killaloe",077062001,19,14,1,22,5,0,6,1,2,0,0,0,2,3
077095001,ROI small area,"Tuam, Limerick and Killaloe",077095001,30,20,1,34,4,0,6,0,0,0,1,0,6,1
077056001,ROI small area,"Tuam, Limerick and Killaloe",077056001,23,27,7,34,4,0,5,1,0,1,1,2,6,1
077110001,ROI small area,"Tuam, Limerick and Killaloe",077110001,32,25,5,39,4,1,9,0,0,0,2,1,1,1
047167001,ROI small area,"Cork, Cloyne and Ross",047167001,24,15,3,31,0,1,4,0,2,0,1,1,0,1
077052001,ROI small area,"Tuam, Limerick and Killaloe",077052001,15,13,0,12,1,2,2,0,2,0,0,0,1,1
047272001,ROI small area,"Cork, Cloyne and Ross",047272001,31,13,3,39,3,2,11,1,1,0,0,1,2,1
047182002,ROI small area,"Cork, Cloyne and Ross",047182002,25,12,4,37,12,3,5,1,2,0,1,2,3,1
047182001,ROI small area,"Cork, Cloyne and Ross",047182001,17,13,2,25,5,1,5,0,3,0,2,2,3,0
047193002,ROI small area,"Cork, Cloyne and Ross",047193002,16,13,6,45,3,1,6,2,0,0,0,1,1,0
047062002,ROI small area,"Cork, Cloyne and Ross",047062002,18,19,2,34,2,2,8,1,0,0,0,0,4,0
077055001,ROI small area,"Tuam, Limerick and Killaloe",077055001,33,23,1,37,1,0,4,0,2,0,1,3,3,1
047209001,ROI small area,"Tuam, Limerick and Killaloe",047209001,35,19,2,45,5,1,7,0,0,1,0,2,2,2
067121001,ROI small area,"Tuam, Limerick and Killaloe",067121001,12,13,2,16,4,2,6,0,2,0,0,3,0,0
