area_code,type,diocese,sa_2022_code,catholic,other_religion,no_religion,not_stated
077055001,ROI small area,"Tuam, Limerick and Killaloe",077055001,259,3,13,4
047209001,ROI small area,"Tuam, Limerick and Killaloe",047209001,298,23,10,13
067121001,ROI small area,"Tuam, Limerick and Killaloe",067121001,132,5,21,12
037104001,ROI small area,"Tuam, Limerick and Killaloe",037104001,145,12,35,2
037116001,ROI small area,"Tuam, Limerick and Killaloe",037116001,164,10,54,68
037008001/037067001,ROI small area,"Tuam, Limerick and Killaloe",037008001/037067001,190,2,21,9
037015001,ROI small area,"Tuam, Limerick and Killaloe",037015001,257,22,72,7
037127001,ROI small area,"Tuam, Limerick and Killaloe",037127001,221,8,44,8
037020001,ROI small area,"Tuam, Limerick and Killaloe",037020001,84,5,8,113
067168001/067171002/067171001,ROI small area,"Tuam, Limerick and Killaloe",067168001/067171002/067171001,255,19,81,37
067125001,ROI small area,"Tuam, Limerick and Killaloe",067125001,212,3,43,7
067185001,ROI small area,"Tuam, Limerick and Killaloe",067185001,151,3,28,7
067055005,ROI small area,"Tuam, Limerick and Killaloe",067055005,223,6,48,9
047005001,ROI small area,"Cork, Cloyne and Ross",047005001,182,11,40,6
227014001,ROI small area,"Cork, Cloyne and Ross",227014001,301,15,34,13
217037001,ROI small area,"Cork, Cloyne and Ross",217037001,168,9,13,5
217109001,ROI small area,"Tuam, Limerick and Killaloe",217109001,323,11,28,14
217086001/217117001,ROI small area,"Tuam, Limerick and Killaloe",217086001/217117001,344,9,40,34
217118001,ROI small area,"Tuam, Limerick and Killaloe",217118001,353,21,14,19
217124001,ROI small area,"Tuam, Limerick and Killaloe",217124001,149,13,23,5
187021001,ROI small area,"Tuam, Limerick and Killaloe",187021001,323,9,5,8
067081001/067084001/067084002,ROI small area,"Tuam, Limerick and Killaloe",067081001/067084001/067084002,230,19,51,18
067199002/067199004,ROI small area,"Tuam, Limerick and Killaloe",067199002/067199004,84,3,29,10
067109001/067109002,ROI small area,"Tuam, Limerick and Killaloe",067109001/067109002,118,6,47,13
067182002,ROI small area,"Tuam, Limerick and Killaloe",067182002,110,4,28,0
